DATE,PRODUCT_ID,PRODUCT_NAME,FORCASTED_SALES,ACTUAL_SALES,,Accuracy
30-12-2015,55725,CEDAR15HSWBTX,87,43,44,51%
15-08-2017,60147,TULIP15BDWBTX,3,40,-37,-1233%
01-03-2015,59515,BELMONTBTX,11,28,-17,-155%
16-02-2016,57455,TITAN14MLKBDWBTX,59,11,48,81%
24-02-2017,59515,BELMONTBTX,78,85,-7,-9%
31-07-2016,53291,DIESEL 15,79,79,0,0%
22-11-2015,63395,ECHO 13 MLK CTO,52,72,-20,-38%
13-10-2017,199,PARTS,48,40,8,17%
10-09-2016,81734,PR54220MIRMAR15A,87,6,81,93%
23-08-2015,62907,BEAVERCREEK14BTX,50,58,-8,-16%
14-05-2016,62907,BEAVERCREEK14BTX,22,60,-38,-173%
28-01-2015,60813,BERLINETTABTX,27,31,-4,-15%
13-10-2017,62904,BEAVERCREEK12BTX,58,51,7,12%
26-03-2016,66803,SOMERSETBTX,44,21,23,52%
21-02-2017,199,PARTS,26,81,-55,-212%
22-09-2017,62904,BEAVERCREEK12BTX,63,67,-4,-6%
30-01-2016,62907,BEAVERCREEK14BTX,58,4,54,93%
02-02-2017,60151,TULIP17SKLBTX,42,67,-25,-60%
06-04-2016,60146,TULIP14BDWBTX,66,29,37,56%
07-12-2017,62853,PARKCITY14BTX,38,70,-32,-84%
30-03-2016,62853,PARKCITY14BTX,92,32,60,65%
01-03-2016,62853,PARKCITY14BTX,47,82,-35,-74%
15-09-2016,75357,PR50416ERIKSNATG,19,35,-16,-84%
11-09-2015,199,PARTS,43,79,-36,-84%
13-10-2015,60147,TULIP15BDWBTX,2,44,-42,-2100%
20-03-2016,62907,BEAVERCREEK14BTX,52,72,-20,-38%
01-09-2016,59860,SILVERTONBTX,51,47,4,8%
20-06-2016,52370,SALADO 14,37,12,25,68%
24-06-2017,62853,PARKCITY14BTX,92,18,74,80%
09-04-2017,199,PARTS,34,33,1,3%
28-12-2017,62853,PARKCITY14BTX,90,43,47,52%
25-12-2016,62908,BEAVERCREEK14CTO,88,51,37,42%
03-07-2015,60147,TULIP15BDWBTX,11,3,8,73%
20-12-2017,62853,PARKCITY14BTX,61,95,-34,-56%
28-08-2016,60147,TULIP15BDWBTX,68,85,-17,-25%
10-09-2017,62853,PARKCITY14BTX,54,15,39,72%
31-01-2015,57513,HOUSTON12BTX,52,52,0,0%
02-05-2017,57453,JANUS15HSWBTX,28,63,-35,-125%
05-06-2015,63397,ECHO 15 MLK CTO,18,96,-78,-433%
03-09-2016,70901,ROCKET11BSWBTX,9,33,-24,-267%
21-04-2017,63886,PANDORA15SKLBTX,100,35,65,65%
01-09-2015,70901,ROCKET11BSWBTX,42,33,9,21%
19-11-2017,70901,ROCKET11BSWBTX,6,43,-37,-617%
25-11-2017,62880,LOVELAND15SCTO,73,6,67,92%
09-04-2016,57368,FIGTREECTO,33,89,-56,-170%
19-12-2016,54142,TESTAROSSA P,7,72,-65,-929%
23-05-2017,58169,ECHO 15FCTO,81,31,50,62%
06-10-2016,57616,CRESTED BUTTEBTX,33,98,-65,-197%
24-09-2016,66803,SOMERSETBTX,1,99,-98,-9800%
15-04-2016,60147,TULIP15BDWBTX,64,32,32,50%
04-04-2016,62882,LOVELAND14SCTO,36,67,-31,-86%
13-07-2015,64248,JAYTONBTX,73,11,62,85%
21-07-2017,57453,JANUS15HSWBTX,92,70,22,24%
30-10-2016,62854,PARKCITY14CTO,75,20,55,73%
03-07-2015,57453,JANUS15HSWBTX,23,50,-27,-117%
26-09-2015,56744,MARBLE FALLS14BTX,8,18,-10,-125%
08-09-2017,62905,BEAVERCREEK12CTO,17,51,-34,-200%
12-07-2015,57366,FIGTREEBTX,34,66,-32,-94%
11-01-2017,62877,LOVELAND14BBTX,63,20,43,68%
19-07-2015,74129,PR49790GOL14MLKA,63,25,38,60%
21-11-2016,199,PARTS,12,64,-52,-433%
23-10-2015,60812,VENENOBTX,19,79,-60,-316%
08-02-2017,199,PARTS,69,64,5,7%
18-01-2016,57453,JANUS15HSWBTX,51,88,-37,-73%
27-05-2016,64250,JAYTONSECUREBTX,68,11,57,84%
15-07-2015,199,PARTS,89,91,-2,-2%
17-04-2015,57283,COTTONWOODBDWBTX,43,4,39,91%
30-11-2016,62850,PARKCITY12BTX,29,19,10,34%
15-04-2016,64248,JAYTONBTX,30,99,-69,-230%
02-11-2017,60704,VANGOGH14BDWBTX,83,21,62,75%
01-03-2016,55727,CEDAR14BDWBTX,53,7,46,87%
29-09-2016,64248,JAYTONBTX,1,56,-55,-5500%
16-11-2016,62856,PARKCITY15BTX,3,3,0,0%
31-07-2016,60813,BERLINETTABTX,21,29,-8,-38%
30-09-2017,75570,PR50510DIESEL17,81,83,-2,-2%
02-06-2017,61333,BERLINETTA P,59,9,50,85%
10-12-2017,57616,CRESTED BUTTEBTX,95,6,89,94%
30-07-2017,57616,CRESTED BUTTEBTX,59,47,12,20%
06-03-2017,62851,PARKCITY12CTO,86,83,3,3%
09-10-2015,57616,CRESTED BUTTEBTX,51,79,-28,-55%
17-04-2017,55725,CEDAR15HSWBTX,5,78,-73,-1460%
29-12-2017,63251,BLACKWOODSKLBTX,61,22,39,64%
02-01-2017,62878,LOVELAND14BCTO,78,92,-14,-18%
12-05-2015,74360,IRIS15AMDBTX,97,58,39,40%
25-05-2015,62881,LOVELAND14SBTX,86,72,14,16%
05-08-2017,55728,CEDAR15BDWBTX,81,3,78,96%
19-05-2017,62907,BEAVERCREEK14BTX,100,19,81,81%
10-02-2017,62881,LOVELAND14SBTX,86,39,47,55%
04-07-2016,75863,PR50769SILVERTON,29,84,-55,-190%
12-12-2015,52370,SALADO 14,88,56,32,36%
05-01-2016,55725,CEDAR15HSWBTX,54,100,-46,-85%
03-04-2016,61590,DINO2BTX,80,19,61,76%
05-06-2017,60147,TULIP15BDWBTX,73,35,38,52%
05-11-2016,60146,TULIP14BDWBTX,47,2,45,96%
20-08-2016,55725,CEDAR15HSWBTX,21,72,-51,-243%
04-11-2017,62878,LOVELAND14BCTO,56,57,-1,-2%
16-12-2017,57191,ERIKSSON14CTO,22,58,-36,-164%
03-08-2017,64248,JAYTONBTX,35,80,-45,-129%
12-07-2015,199,PARTS,10,22,-12,-120%
07-02-2016,57527,HOUSTON15CTO,98,2,96,98%
10-10-2017,57527,HOUSTON15CTO,2,12,-10,-500%
27-09-2016,63276,MAPLE15SKLBTX,29,58,-29,-100%
31-01-2015,60707,VANGOGH15SKLBTX,36,19,17,47%
28-02-2015,57525,HOUSTON15BTX,69,81,-12,-17%
04-01-2015,57525,HOUSTON15BTX,68,17,51,75%
10-06-2016,57191,ERIKSSON14CTO,9,27,-18,-200%
12-07-2016,57513,HOUSTON12BTX,100,11,89,89%
21-11-2015,62851,PARKCITY12CTO,61,51,10,16%
23-02-2016,60147,TULIP15BDWBTX,91,4,87,96%
28-12-2017,83963,PR55474LIVNGSTON,72,25,47,65%
26-02-2017,61341,MIRAMAR 17,54,74,-20,-37%
21-09-2016,57525,HOUSTON15BTX,79,97,-18,-23%
30-06-2016,57513,HOUSTON12BTX,1,29,-28,-2800%
08-02-2017,62905,BEAVERCREEK12CTO,61,61,0,0%
28-07-2016,77339,PR51386HOUSTN14O,33,80,-47,-142%
21-02-2015,57526,HOUSTON15CTOE,28,88,-60,-214%
09-11-2017,57617,CRESTED BUTTECTO,100,48,52,52%
30-08-2016,57379,JEFFERSONBTX,13,5,8,62%
16-02-2016,199,PARTS,88,60,28,32%
04-12-2016,54984,ROUND ROCKBTX,12,4,8,67%
09-04-2016,60153,TULIP15AMDBTX,18,15,3,17%
28-03-2015,52370,SALADO 14,63,92,-29,-46%
31-07-2015,74360,IRIS15AMDBTX,6,86,-80,-1333%
13-06-2016,57623,CRESTEDBUTTECTO1,9,93,-84,-933%
15-04-2017,57379,JEFFERSONBTX,68,86,-18,-26%
02-03-2015,52375,SALADO 14 CTO,16,89,-73,-456%
18-07-2016,57379,JEFFERSONBTX,81,50,31,38%
21-05-2016,57379,JEFFERSONBTX,91,64,27,30%
16-03-2015,57379,JEFFERSONBTX,56,36,20,36%
22-08-2016,199,PARTS,21,39,-18,-86%
03-02-2016,199,PARTS,12,5,7,58%
12-08-2016,62908,BEAVERCREEK14CTO,18,95,-77,-428%
11-03-2016,59515,BELMONTBTX,13,65,-52,-400%
16-08-2017,199,PARTS,84,9,75,89%
01-03-2016,60146,TULIP14BDWBTX,23,82,-59,-257%
21-12-2016,57379,JEFFERSONBTX,81,6,75,93%
11-12-2016,57379,JEFFERSONBTX,6,54,-48,-800%
01-01-2016,57379,JEFFERSONBTX,76,57,19,25%
29-08-2017,199,PARTS,85,45,40,47%
31-12-2017,60150,TULIP15SKLBTX,16,46,-30,-188%
